id,r,bias,Sepal Width,Petal Length,Petal Width,Species,Class,,bias,x,y,,Truth,Model,,c1,c2,c3,,,,Perceptron Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepal Width,Petal Length,Petal Width,Species
24,0.025714927,1,2.8,4.7,1.2,'versicolor',1,,1,5,1.5,,1,,,22,1,-17.6,,,,c1,c2,c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.7,1.4,'versicolor'
16,0.038988291,1,3.1,4.4,1.4,'versicolor',1,,1,6,1.8,,1,0.6,,21,-4,-19.1,,,,26,1.2,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.5,1.5,'versicolor'
5,0.039883819,1,2.8,4.6,1.5,'versicolor',1,,1,4.7,1.2,,1,-37.38,,21,-4,-19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.9,1.5,'versicolor'
41,0.045916296,1,2.6,4.4,1.2,'versicolor',1,,1,5.6,2.4,,1,-20.72,,22,0.7,-17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4,1.3,'versicolor'
44,0.058772954,1,2.3,3.3,1,'versicolor',1,,1,4.4,1.4,,1,-17.04,,22,0.7,-17.9,,m,b,,x,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.6,1.5,'versicolor'
36,0.084366111,1,3.4,4.5,1.6,'versicolor',1,,1,4.6,1.5,,1,0.02,,22,0.7,-17.9,,0.060301508,1.306532663,,0,1.306532663,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.5,1.3,'versicolor'
49,0.120550323,1,2.5,3,1.1,'versicolor',1,,1,4.4,1.2,,1,-1.63,,23,5.3,-16.4,,,,,8,1.788944724,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.7,1.6,'versicolor'
43,0.123065295,1,2.6,4,1.2,'versicolor',1,,1,3.3,1,,1,26.64,,23,5.3,-16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.3,1,'versicolor'
14,0.145183538,1,2.9,4.7,1.4,'versicolor',1,,1,6.1,2.5,,1,24.09,,23,5.3,-16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.6,1.3,'versicolor'
33,0.16936155,1,2.7,3.9,1.2,'versicolor',1,,1,6.6,2.1,,1,14.33,,22,-0.8,-18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.9,1.4,'versicolor'
